date,open,high,low,close,volume,pe,pb,sentiment,ma5,ma20,macd_dif,macd_dea,macd_hist,rsi14,golden_cross,death_cross,entry_signal,exit_signal,position,turnover,fee,strategy_ret,benchmark_ret,strategy_nav,benchmark_nav,period
2020-04-03,18.31,18.31,17.76,17.79,16918966.0,52.86,2.85,0.5,18.434,17.759999999999998,-0.3645915261941113,-0.5345954390260068,0.340007825663791,46.14827507449068,0,0,0,0,1.0,0.0,0.0,-0.028399781540142,-0.028399781540142,0.8435395161728463,1.1418485237483946,训练集
2020-04-06,18.31,18.31,17.76,17.79,0.0,52.86,2.85,0.5,18.354,17.688,-0.3537657962312153,-0.4984295104670485,0.2893274284716665,46.14827507449068,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.8435395161728463,1.1418485237483946,训练集
2020-04-07,18.26,18.41,17.99,18.22,18911589.0,52.86,2.85,0.5,18.118,17.625999999999998,-0.3069505856194716,-0.4601337254975332,0.306366279756123,49.21029711518057,0,0,0,0,1.0,0.0,0.0,0.02417088251826871,0.02417088251826871,0.8639286107177774,1.1694480102695757,训练集
2020-04-08,18.05,18.05,17.8,17.89,12954327.0,52.86,2.85,0.5,18.0,17.5705,-0.2930987757599084,-0.4267267355500083,0.2672559195801998,47.00152548733056,0,0,0,0,1.0,0.0,0.0,-0.018111964873764985,-0.018111964873764985,0.8482811660670164,1.1482670089858789,训练集
2020-04-09,18.05,18.29,17.97,18.0,13333832.0,52.86,2.85,0.5,17.938,17.548,-0.270131132413983,-0.3954076149228032,0.2505529650176404,47.8419136101025,0,0,0,0,1.0,0.0,0.0,0.006148686416992621,0.006148686416992621,0.8534969809506033,1.1553273427471111,训练集
2020-04-10,18.21,18.21,17.52,17.65,13185472.0,52.86,2.85,0.5,17.910000000000004,17.5305,-0.2769783505057646,-0.3717217620393955,0.1894868230672619,45.37640424016398,0,0,0,0,1.0,0.0,0.0,-0.019444444444444486,-0.019444444444444486,0.8369012063210083,1.1328626444159173,训练集
2020-04-13,17.7,18.1,17.7,18.05,10255956.0,52.86,2.85,0.5,17.962,17.561500000000002,-0.2472776997172054,-0.3468329495749575,0.1991104997155041,48.634375986420864,0,0,0,0,1.0,0.0,0.0,0.022662889518413776,0.022662889518413776,0.8558678058976885,1.1585365853658534,训练集
2020-04-14,18.05,18.76,17.91,18.74,23386305.0,52.86,2.85,0.5,18.066,17.640499999999996,-0.1661472445442093,-0.3106958085688079,0.289097128049197,53.75800178366664,0,0,0,0,1.0,0.0,0.0,0.0382271468144042,0.0382271468144042,0.8885851901674614,1.2028241335044925,训练集
2020-04-15,19.2,20.18,18.88,19.45,30622736.0,52.86,2.85,0.5,18.378,17.770500000000002,-0.0440519050833785,-0.257367027871722,0.426630245576687,58.360601666416144,0,0,0,0,1.0,0.0,0.0,0.037886872998932786,0.037886872998932786,0.9222509044160685,1.2483953786906286,训练集
2020-04-16,19.44,19.83,19.1,19.41,16525891.0,52.86,2.85,0.5,18.66,17.9105,0.0489179694809003,-0.1961100284011976,0.4900559957641958,58.01028728104108,0,0,0,0,1.0,0.0,0.0,-0.0020565552699228773,-0.0020565552699228773,0.9203542444584005,1.245827984595635,训练集
2020-04-17,19.6,19.73,18.98,19.02,15649005.0,52.86,2.85,0.5,18.934,18.011999999999997,0.0900890339460076,-0.1388702159317565,0.4579184997555284,54.57084378543875,0,0,0,0,1.0,0.0,0.0,-0.020092735703245768,-0.020092735703245768,0.9018618098711374,1.2207958921694475,训练集
2020-04-20,19.21,19.21,18.81,19.04,10747360.0,99.64,3.06,0.5,19.132,18.185,0.1229143518722786,-0.0865133023709495,0.4188553084864562,54.71911203819587,0,0,0,0,1.0,0.0,0.0,0.001051524710830698,0.001051524710830698,0.9028101398499714,1.2220795892169443,训练集
2020-04-21,18.92,19.31,18.7,19.21,14714834.0,99.64,3.06,0.5,19.226,18.341,0.1607927137589868,-0.0370520991449622,0.3956896258078982,56.03266400965417,0,0,0,0,1.0,0.0,0.0,0.008928571428571619,0.008928571428571619,0.9108709446700606,1.2329910141206673,训练集
2020-04-22,18.89,19.41,18.72,19.22,12145802.0,99.64,3.06,0.5,19.18,18.457,0.1894348182142842,0.008245284326887,0.3623790677747943,56.113313361497454,0,0,0,0,1.0,0.0,0.0,0.0005205622071835503,0.0005205622071835503,0.9113451096594773,1.2336328626444153,训练集
2020-04-23,19.41,19.59,18.77,18.84,11602798.0,99.64,3.06,0.5,19.066,18.521,0.1794030217822282,0.0424768318179552,0.2738523799285459,52.19526228303013,0,0,0,0,1.0,0.0,0.0,-0.019771071800208095,-0.019771071800208095,0.8933268400616313,1.2092426187419762,训练集
2020-04-24,18.98,19.57,18.92,19.0,13594893.0,99.64,3.06,0.5,19.062,18.585,0.1822624060957807,0.0704339466735203,0.2236569188445206,53.66236039043645,0,0,0,0,1.0,0.0,0.0,0.00849256900212314,0.00849256900212314,0.9009134798923033,1.2195121951219505,训练集
2020-04-27,19.09,19.11,18.4,18.43,13826532.0,99.64,3.06,0.5,18.94,18.597,0.1369555145340797,0.0837382602456322,0.1064345085768949,48.00965491566264,0,0,0,0,1.0,0.0,0.0,-0.030000000000000027,-0.030000000000000027,0.8738860754955342,1.182926829268292,训练集
